id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2182695,6,985,2162,1H,513.13277,Duel,Ground attacking duel,neutral,70,2,66.0,0.0,t
2182700,6,985,1673,1H,528.331525,Pass,Simple pass,,45,66,68.0,48.0,t
2182706,6,985,1242,1H,546.723708,Pass,Simple pass,,75,72,88.0,94.0,t
2182714,6,985,3234,1H,582.311839,Duel,Air duel,won,43,59,41.0,59.0,t
2182721,59,985,2065,1H,600.062423,Pass,Head pass,interception,29,8,42.0,11.0,t
2182728,6,985,1673,1H,617.796108,Pass,Simple pass,,45,87,40.0,50.0,t
2182735,6,985,150,1H,642.439276,Pass,Simple pass,,19,54,27.0,28.0,t
2182741,6,985,1242,1H,657.955002,Duel,Ground attacking duel,won,66,70,75.0,95.0,t
2182748,6,985,1673,1H,679.060141,Pass,High pass,through,41,83,91.0,86.0,t
2182756,6,985,2162,1H,723.631718,Free Kick,Corner,high,100,100,90.0,69.0,t
2182762,6,985,359,1H,731.9353049999999,Pass,Simple pass,,53,50,21.0,53.0,t
2182769,59,985,161,1H,756.710592,Duel,Ground defending duel,won,63,95,59.0,88.0,t
2182785,6,985,359,1H,891.7813579999998,Pass,Simple pass,,77,85,55.0,73.0,t
2182791,59,985,257,1H,928.019145,Pass,Simple pass,,19,12,28.0,33.0,t
2182800,59,985,1314,1H,976.630755,Duel,Ground defending duel,neutral,75,95,75.0,100.0,t
2182811,59,985,216,1H,1018.669345,Pass,Simple pass,,30,88,26.0,52.0,t
2182817,6,985,2162,1H,1037.206217,Pass,Simple pass,interception,37,9,58.0,17.0,t
2182822,59,985,2065,1H,1047.659438,Pass,Simple pass,,66,10,66.0,21.0,t
2182826,59,985,1460,1H,1052.746201,Pass,Simple pass,,60,37,62.0,19.0,t
2182830,59,985,71,1H,1063.278686,Pass,Simple pass,,76,95,60.0,91.0,t
2182834,59,985,1460,1H,1075.178648,Pass,Simple pass,,45,33,30.0,62.0,t
2182844,59,985,216,1H,1131.863493,Pass,High pass,,49,89,89.0,8.0,t
2182854,6,985,150,1H,1204.759445,Pass,Launch,,8,49,64.0,72.0,t
2182861,6,985,359,1H,1247.279442,Duel,Ground loose ball duel,won,25,76,18.0,74.0,t
2182876,59,985,71,1H,1372.025163,Free Kick,Throw in,,66,100,66.0,96.0,t
